,0
2009,78535
2010,78641
2011,79130
2012,79777
2013,80155
2014,80373
2015,80387
2016,80463
2017,80506
2018,80516
2019,80535
2020,80594
2021,80595
2022,80599
2023,80607
2024,80633
2025,80667
2026,80723
2027,80799
2028,80982
2029,81358
2030,81642
2031,82454
2032,82647
2033,82836
2034,83228
2035,83388
2036,83562
2037,83642
2038,83696
2039,83700
2040,83751
2041,83826
2042,84455
2043,84517
2044,84658
2045,85102
2046,85288
2047,85848
2048,85945
2049,85951
2050,85966
2051,86106
2052,86116
2053,86567
2054,86797
2055,86925
2056,87076
2057,87090
2058,87131
2059,87235
2060,87838
2061,87857
2062,87889
2063,87896
2064,87998
2065,88040
2066,88042
2067,88077
2068,88112
2069,88743
2070,89260
2071,89822
2072,90666
2073,90695
2074,91414
2075,91811
2076,91848
2077,92445
2078,92638
2079,92664
2080,92679
2081,93621
2082,94039
2083,94084
2084,94095
2085,94135
2086,94485
2087,95295
2088,95310
2089,95478
2090,95552
2091,95563
2092,95714
2093,96217
2094,96747
2095,97498
2096,97502
2097,97619
2098,97754
2099,98310
2100,98692
2101,100167
2102,100297
2103,100300
2104,100635
2105,100894
2106,100923
2107,102046
2108,102668
2109,103210
2110,103424
2111,103429
2112,103885
2113,104848
2114,105381
2115,105543
2116,105997
2117,106003
2118,106119
2119,106124
2120,107014
2121,107555
2122,107639
2123,107720
2124,108545
2125,109919
2126,110036
2127,110265
2128,111117
2129,111193
2130,111337
2131,111730
2132,111813
2133,111852
2134,112218
2135,113575
2136,113643
2137,113652
2138,113816
2139,114579
2140,114741
2141,115111
2142,115122
2143,115138
2144,115377
2145,115380
2146,115516
2147,115617
2148,115743
2149,115763
2150,116444
2151,116656
2152,117334
2153,117375
2154,117381
2155,117513
2156,117514
2157,117819
2158,117848
2159,117974
2160,118229
2161,118232
2162,118250
2163,120192
2164,120294
2165,120372
2166,120410
2167,120519
2168,120780
2169,121540
2170,122671
2171,122918
2172,123678
2173,123877
2174,123945
2175,124069
2176,124199
2177,124520
2178,124582
2179,124817
2180,124827
2181,125211
2182,125539
2183,125791
2184,126192
2185,126356
2186,126408
2187,126416
2188,127266
2189,127415
2190,127598
2191,127947
2192,127976
2193,128070
2194,128880
2195,128881
2196,129056
2197,129147
2198,129819
2199,129828
2200,129983
2201,130003
2202,130014
2203,130035
2204,130418
2205,130544
2206,132736
2207,133643
2208,134508
2209,134818
2210,135122
2211,135874
2212,136030
2213,136032
2214,138257
2215,139711
2216,142004
2217,142150
2218,142366
2219,143070
2220,143330
2221,143682
2222,144985
2223,145107
2224,146311
2225,146443
2226,146446
2227,146451
2228,146737
2229,147135
2230,148279
2231,148432
2232,148707
2233,150229
2234,150943
2235,150968
2236,151318
2237,151322
2238,151325
2239,151329
2240,151334
2241,151698
2242,151713
2243,151882
2244,151883
2245,153145
2246,153190
2247,153469
2248,154525
2249,155157
2250,155227
2251,155231
2252,155632
2253,155690
2254,155841
2255,156223
2256,156365
2257,156366
2258,156953
2259,157222
2260,157588
2261,158191
2262,159378
2263,159783
2264,160668
2265,160883
2266,160885
2267,161366
2268,161742
2269,163742
2270,164165
2271,164212
2272,164474
2273,164492
2274,165190
2275,166220
2276,166321
2277,166658
2278,166712
2279,166721
2280,166871
2281,167840
2282,167860
2283,168164
2284,168515
2285,169035
2286,169950
2287,170198
2288,170281
2289,170499
2290,171151
2291,171209
2292,171279
2293,171341
2294,171529
2295,171634
2296,171726
2297,172251
2298,172271
2299,172316
2300,172341
2301,172408
2302,172586
2303,172587
2304,172590
2305,172648
2306,172685
2307,172848
2308,173110
2309,173982
2310,174052
2311,174130
2312,174229
2313,174497
2314,174521
2315,174930
2316,174940
2317,174985
2318,174997
2319,175089
2320,175325
2321,176025
2322,177192
2323,177215
2324,177482
2325,178387
2326,178963
2327,179474
2328,179792
2329,180435
2330,180777
2331,180914
2332,181284
2333,181580
2334,182637
2335,182645
2336,182695
2337,182710
2338,183717
2339,184223
2340,184243
2341,184351
2342,184354
2343,184438
2344,184455
2345,184461
2346,184672
2347,185358
2348,185575
2349,186029
2350,186311
2351,186351
2352,186395
2353,186567
2354,187225
2355,187580
2356,187671
2357,188326
2358,188327
2359,188495
2360,188631
2361,189870
2362,190023
2363,190878
2364,191018
2365,191057
2366,191077
2367,191087
2368,191420
2369,191478
2370,192847
2371,193653
2372,193710
2373,193996
2374,196410
2375,196656
2376,196682
2377,196858
2378,196874
2379,196903
2380,197027
2381,197089
2382,197094
2383,197216
2384,197282
2385,197331
2386,197417
2387,197447
2388,197466
2389,197471
2390,197524
2391,197670
2392,197767
2393,197921
2394,198017
2395,200238
2396,200447
2397,200570
2398,200571
2399,200651
2400,200769
2401,200788
2402,200847
2403,201336
2404,201714
2405,202153
2406,202229
2407,202254
2408,202845
2409,203450
2410,203489
2411,203939
2412,204243
2413,204339
2414,204450
2415,204468
2416,204475
2417,204476
2418,204483
2419,204494
2420,204495
2421,204496
2422,204525
2423,204535
2424,204539
2425,204549
2426,204558
2427,204755
2428,204811
2429,204832
2430,204937
2431,205430
2432,205431
2433,205469
2434,205645
2435,205908
2436,206462
2437,206884
2438,206904
2439,206996
2440,207018
2441,207192
2442,207521
2443,208053
2444,208486
2445,208517
2446,208860
2447,209089
2448,209160
2449,210376
2450,210379
2451,210399
2452,211051
2453,211097
2454,211253
2455,211272
2456,211301
2457,211311
2458,211924
2459,212278
2460,213524
2461,213870
2462,213874
2463,213875
2464,213878
2465,214327
2466,214512
2467,214528
2468,214997
2469,215231
2470,215359
2471,215470
2472,215523
2473,215639
2474,215822
2475,215866
2476,215880
2477,216770
2478,217850
2479,217873
2480,217888
2481,218171
2482,218971
2483,219943
2484,220465
2485,220470
2486,220491
2487,221817
2488,221857
2489,222545
2490,222649
2491,222700
2492,222702
2493,223945
2494,225626
2495,228291
2496,228920
2497,234284
2498,234335
2499,236887
2500,238966
2501,239014
2502,239823
