,0
1291,156
1292,204947
1293,81993
1294,40325
1295,164598
1296,123330
1297,99048
1298,26538
1299,89813
1300,163565
1301,83656
1302,23183
1303,51499
1304,115381
1305,84630
1306,103196
1307,24734
1308,32512
1309,67852
1310,155994
1311,80551
1312,40485
1313,24195
1314,20667
1315,55826
1316,164608
1317,173857
1318,80428
1319,24543
1320,84337
1321,21705
1322,115377
1323,122433
1324,146101
1325,80459
1326,74439
1327,185549
1328,108665
1329,153147
1330,81995
1331,30218
1332,115360
1333,25764
1334,149708
1335,20283
1336,73501
1337,56912
1338,113432
1339,21897
1340,80725
1341,123334
1342,165778
1343,24514
1344,81043
1345,24575
1346,77524
1347,180455
1348,80449
1349,189312
1350,97499
1351,100294
1352,115402
1353,115394
1354,83042
1355,85310
1356,83717
1357,40437
1358,20832
1359,167814
1360,87196
1361,777
1362,343
1363,81051
1364,67603
1365,81184
1366,64789
1367,72774
1368,208305
1369,68553
1370,25112
1371,97281
1372,187247
1373,84718
1374,212173
1375,70316
1376,172256
1377,171127
1378,84462
1379,25528
1380,67585
1381,177591
1382,171864
1383,84703
1384,93020
1385,171423
1386,20296
1387,101445
1388,137704
1389,26179
1390,163443
1391,180759
1392,66443
1393,28902
1394,169393
1395,22384
1396,103125
1397,213537
1398,249178
1399,25086
1400,21650
1401,29679
1402,115356
1403,115060
1404,30867
1405,20805
1406,159153
1407,24599
1408,42526
1409,205510
1410,190159
1411,26572
1412,375
1413,210809
1414,84265
1415,68518
1416,657
1417,117483
1418,88839
1419,119461
1420,25279
1421,37752
1422,21634
1423,100012
1424,24186
1425,228493
1426,40314
1427,24124
1428,56947
1429,39759
1430,216885
1431,115359
1432,26178
1433,84655
1434,115363
1435,81296
1436,103376
1437,207287
1438,67595
1439,24646
1440,54922
1441,86337
1442,84109
1443,68781
1444,68792
1445,69008
1446,30083
1447,24562
1448,164163
1449,160269
1450,89732
1451,67613
1452,68787
1453,87451
1454,299
1455,85309
1456,164322
1457,80593
1458,164865
1459,165479
1460,80687
1461,83886
1462,80781
1463,82622
1464,165895
1465,155965
1466,24979
1467,96888
1468,32513
1469,34623
1470,29627
1471,29308
1472,27052
1473,27038
1474,193722
1475,26236
1476,40198
1477,674
1478,26224
1479,109612
1480,145719
1481,26048
1482,105074
1483,25512
1484,208700
1485,56663
1486,188130
1487,24999
1488,208963
1489,101246
1490,100778
1491,155529
1492,20685
1493,189401
1494,195550
1495,101491
1496,204083
1497,123937
1498,198
1499,147481
1500,197371
1501,20335
1502,208306
1503,144872
1504,145079
1505,29995
1506,124706
1507,151713
1508,92569
1509,24630
1510,102232
1511,161538
1512,185976
1513,198228
1514,80799
1515,34622
1516,26464
1517,60453
1518,210379
1519,213373
1520,183885
1521,71481
1522,164240
1523,669
1524,105193
1525,442
1526,102765
1527,24665
1528,31001
1529,40154
1530,84460
1531,181555
1532,80478
1533,152422
1534,631
1535,80443
1536,113570
1537,24332
1538,71441
1539,170172
1540,26149
1541,24663
1542,92638
1543,67937
1544,25576
1545,80584
1546,115743
1547,57005
1548,20780
1549,67552
1550,20925
1551,51158
1552,56983
1553,67484
1554,20253
1555,41932
1556,24985
1557,80441
1558,80623
1559,72201
1560,59691
1561,184531
1562,211767
1563,177908
1564,155392
1565,97854
1566,112131
1567,20238
1568,21478
1569,40248
1570,102038
1571,26139
1572,639
1573,177595
1574,40313
1575,89313
1576,239744
1577,169495
1578,103616
1579,143681
1580,161892
1581,373
1582,115218
1583,95711
1584,512
1585,40352
1586,89799
1587,71129
1588,26412
1589,20229
1590,113538
1591,92708
1592,80650
1593,168195
1594,22046
1595,68561
1596,40490
1597,196451
1598,167784
1599,151378
1600,100208
1601,29245
1602,80820
1603,57195
1604,25057
1605,111356
1606,2103
1607,95760
1608,193276
1609,62971
1610,62381
1611,84448
1612,371
1613,35536
1614,115709
1615,25085
1616,393
1617,40441
1618,81252
1619,124959
1620,47732
1621,212309
1622,102928
1623,109580
1624,85848
1625,192465
1626,40339
1627,30417
1628,112458
1629,87609
1630,164426
1631,84523
1632,21843
1633,522
1634,169007
1635,637
1636,26140
1637,22025
1638,168204
1639,212
1640,20370
1641,416
1642,206908
1643,174996
1644,134599
1645,26282
1646,80822
1647,39824
1648,197632
1649,238936
1650,30997
1651,96114
1652,20845
